"Bug ID","Название баг-репорта","Связанный тест-кейс в TestIT","Категория","URL","Шаги воспроизведения","Фактический результат","Ожидаемый результат","Важность","Срочность","Статус","Автор","Дата"
"BG-01","Телефонные номера в шапке ведут на страницу приемной комиссии вместо звонка","Проверка шапки: телефонные номера открывают звонок, а не страницу приемной","ссылки на другую страницу","http://www.nke.ru/","1. Открыть главную страницу. | 2. Нажать на один из телефонных номеров в правой части шапки.","Номер ведет на страницу http://nke.ru/applicants/the_admissions_committee/, а не инициирует звонок.","Номер должен быть ссылкой формата tel: или не должен выглядеть как интерактивный элемент.","Высокая","Высокая","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-02","В меню есть опечатка «Профессиооналы»","Проверка меню: опечатка в слове Профессионалы отсутствует","меню / опечатка в тексте","http://www.nke.ru/","1. Открыть главную страницу. | 2. Просмотреть пункты меню и футера.","Слово Профессионалы написано с двойной буквой о.","Пункт меню должен называться Мастерские ""Профессионалы"".","Низкая","Планово","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-03","В новости допущена опечатка «Телеграмм-чат»","Проверка новости: в заголовке нет опечатки Телеграмм","опечатка в тексте","http://www.nke.ru/about_the_university/news/4245/","1. Открыть раздел новостей. | 2. Перейти в новость с указанным заголовком.","В слове Телеграмм допущена орфографическая ошибка.","Должно быть написано Телеграм-чат или Telegram-чат.","Низкая","Планово","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-04","Поиск принимает запрос из пробелов и переводит пользователя на страницу синтаксической ошибки","Проверка поиска: запрос из пробелов не приводит к синтаксической ошибке","поиск","http://www.nke.ru/search/index.php?q=%20%20%20","1. Ввести в поиск несколько пробелов. | 2. Нажать Enter или кнопку поиска.","Открывается страница поиска с сообщением об ошибке и подсказками по синтаксису поискового запроса.","Пробельный запрос должен считаться пустым, а пользователь должен получить простое сообщение ""Введите поисковый запрос"".","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-05","Поиск по бессмысленному запросу возвращает нерелевантные результаты","Проверка поиска: бессмысленный запрос не возвращает нерелевантные результаты","результаты поиска","http://www.nke.ru/search/index.php?q=фывафыва","1. Ввести в поиск запрос фывафыва. | 2. Отправить форму поиска.","В выдаче появляются материалы сайта, не связанные с запросом.","По бессмысленному запросу пользователь должен получить сообщение о том, что результаты не найдены.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-06","Поиск формирует дублирующиеся и некорректно подписанные результаты для одной и той же страницы","Проверка поиска: в выдаче нет дублирующихся страниц расписания","результаты поиска","http://www.nke.ru/search/index.php?q=расписание","1. Выполнить поиск по слову расписание. | 2. Просмотреть верхнюю часть выдачи.","Одна и та же страница расписания показывается в выдаче под несколькими названиями.","Каждая страница должна отображаться в выдаче один раз и с корректным заголовком.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-07","Во фрагментах поисковой выдачи ломается подсветка и слова распадаются на отдельные буквы","Проверка поиска: подсветка не ломает слова в сниппетах","результаты поиска / некрасивое отображение","http://www.nke.ru/search/index.php?q=расписание","1. Выполнить поиск по слову расписание. | 2. Просмотреть текстовые фрагменты в результатах поиска.","Отдельные слова в сниппетах отображаются с разрывами.","Подсветка совпадений не должна ломать слова и переносы.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-08","В форме онлайн-приемной поле email оформлено как обычное текстовое поле","Проверка формы приемной: поле email имеет корректный тип и валидацию","форма онлайн-приемной","http://www.nke.ru/applicants/the_admissions_committee/","1. Открыть страницу приемной комиссии. | 2. Прокрутить страницу до блока Онлайн приемная. | 3. Проверить HTML и поведение поля email.","Для email используется input type=""text"", встроенная браузерная проверка email не работает.","Поле должно использовать input type=""email"" с корректной валидацией.","Высокая","Высокая","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-09","В форме онлайн-приемной поле телефона оформлено как обычное текстовое поле","Проверка формы приемной: поле телефона имеет тип tel","форма онлайн-приемной","http://www.nke.ru/applicants/the_admissions_committee/","1. Открыть страницу приемной комиссии. | 2. Найти блок Онлайн приемная. | 3. Проверить HTML и поведение поля телефона.","Для телефона используется input type=""text"", цифровая клавиатура и базовая проверка телефонного формата не задействуются.","Поле должно использовать input type=""tel"".","Высокая","Высокая","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-10","Согласие на обработку персональных данных в форме приемной есть только текстом, без отдельного подтверждения","Проверка формы приемной: есть отдельное согласие на персональные данные","форма онлайн-приемной","http://www.nke.ru/applicants/the_admissions_committee/","1. Открыть блок Онлайн приемная. | 2. Просмотреть нижнюю часть формы перед кнопкой Отправить.","Согласие на обработку персональных данных выведено обычным текстом, отдельный checkbox для подтверждения отсутствует.","Пользователь должен явно подтверждать согласие отдельным checkbox перед отправкой формы.","Высокая","Срочно","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-11","На мобильной версии шапка сайта перегружена и плохо читается","Проверка мобильной версии: шапка читается без перегрузки","мобильная версия сайта","http://www.nke.ru/","1. Открыть главную страницу на смартфоне или в мобильной эмуляции. | 2. Просмотреть верхнюю часть страницы.","Длинное название колледжа, федеральный проект и контактный блок слишком сильно сжимаются, верхняя часть страницы выглядит перегруженной.","В мобильной версии шапка должна быть переработана так, чтобы текст и контакты читались легко.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-12","В футере есть опечатка «Телеграмм»","Проверка футера: подпись Телеграм оформлена без опечатки","футер / опечатка в тексте","http://www.nke.ru/","1. Открыть главную страницу сайта. | 2. Прокрутить страницу до футера. | 3. Проверить подпись ссылки на Telegram-канал.","Ссылка в футере подписана как Телеграмм.","Должно быть написано Телеграм или Telegram.","Низкая","Планово","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-13","На странице «Портфолио выпускников» отображается заглушка «Текст в разработке»","Проверка страницы Портфолио выпускников: вместо заглушки есть контент","незаполненная страница","http://www.nke.ru/rabotodatelyam/portfolio-vypusknikov/","1. Открыть раздел Работодателям. | 2. Перейти на страницу Портфолио выпускников.","В основном содержимом страницы отображается только фраза Текст в разработке.","Страница должна содержать полноценный контент, либо ссылка на нее должна быть скрыта до завершения наполнения.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-14","Страница «Проекты» в разделе ОРЦ открывается без основного контента","Проверка страницы Проекты: раздел содержит основной контент","незаполненная страница","http://www.nke.ru/orts/projekt/","1. Открыть раздел ОРЦ. | 2. Перейти на страницу Проекты.","На странице отображается только заголовок Проекты, без описания, карточек, ссылок или другого основного содержимого.","Страница должна содержать информацию о проектах или быть недоступна до наполнения.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
"BG-15","На странице «Студенческая жизнь» отображается служебный текст «****»","Проверка страницы Студенческая жизнь: нет служебного текста","незаполненная страница / некорректное отображение","http://www.nke.ru/students/life/","1. Открыть раздел Студентам. | 2. Перейти на страницу Студенческая жизнь. | 3. Просмотреть нижнюю часть основного содержимого после списка ссылок.","На странице отображается посторонний текст ****, похожий на заглушку или служебный остаток шаблона.","В пользовательском интерфейсе не должно быть служебных символов или незавершенных блоков.","Средняя","Обычная","Открыт","Храмов Даниил Романович","19.03.2026"
